year,state,month,number,date,Random
2009,Ceara,Novembro,1.653,1/1/2009,74
2010,Ceara,Novembro,1.652,1/1/2010,85
2011,Ceara,Novembro,1.561,1/1/2011,38
2012,Ceara,Novembro,995,1/1/2012,7
2013,Ceara,Novembro,1.081,1/1/2013,41
2014,Ceara,Novembro,829,1/1/2014,50
2015,Ceara,Novembro,1.081,1/1/2015,62
2016,Ceara,Novembro,1.328,1/1/2016,9
2017,Ceara,Novembro,812,1/1/2017,25
1998,Ceara,Dezembro,276,1/1/1998,66
1999,Ceara,Dezembro,397,1/1/1999,39
2000,Ceara,Dezembro,389,1/1/2000,31
2001,Ceara,Dezembro,545,1/1/2001,98
2002,Ceara,Dezembro,1.787,1/1/2002,31
2003,Ceara,Dezembro,2.436,1/1/2003,59
2004,Ceara,Dezembro,3.158,1/1/2004,19
2005,Ceara,Dezembro,1.36,1/1/2005,93
2006,Ceara,Dezembro,1.161,1/1/2006,10
2007,Ceara,Dezembro,1.177,1/1/2007,10
2008,Ceara,Dezembro,1.655,1/1/2008,66
2009,Ceara,Dezembro,1.987,1/1/2009,47
2010,Ceara,Dezembro,578,1/1/2010,31
2011,Ceara,Dezembro,1.441,1/1/2011,77
2012,Ceara,Dezembro,631,1/1/2012,48
2013,Ceara,Dezembro,956,1/1/2013,43
2014,Ceara,Dezembro,643,1/1/2014,78
2015,Ceara,Dezembro,,1/1/2015,11
2016,Ceara,Dezembro,819,1/1/2016,41
1998,Distrito Federal,Janeiro,0 Fires,1/1/1998,93
1999,Distrito Federal,Janeiro,0 Fires,1/1/1999,8
2000,Distrito Federal,Janeiro,0 Fires,1/1/2000,14
2001,Distrito Federal,Janeiro,0 Fires,1/1/2001,59
2002,Distrito Federal,Janeiro,0 Fires,1/1/2002,68
2003,Distrito Federal,Janeiro,0 Fires,1/1/2003,44
2004,Distrito Federal,Janeiro,0 Fires,1/1/2004,36
2005,Distrito Federal,Janeiro,0 Fires,1/1/2005,12
2006,Distrito Federal,Janeiro,0 Fires,1/1/2006,89
2007,Distrito Federal,Janeiro,0 Fires,1/1/2007,33
2008,Distrito Federal,Janeiro,0 Fires,1/1/2008,36
2009,Distrito Federal,Janeiro,1 Fires,1/1/2009,62
2010,Distrito Federal,Janeiro,2 Fires,1/1/2010,60
2011,Distrito Federal,Janeiro,2 Fires,1/1/2011,86
2012,Distrito Federal,Janeiro,0 Fires,1/1/2012,81
2013,Distrito Federal,Janeiro,0 Fires,1/1/2013,20
2014,Distrito Federal,Janeiro,0 Fires,1/1/2014,23
2015,Distrito Federal,Janeiro,1 Fires,1/1/2015,6
2016,Distrito Federal,Janeiro,1 Fires,1/1/2016,13
2017,Distrito Federal,Janeiro,1 Fires,1/1/2017,68
1998,Distrito Federal,Fevereiro,0 Fires,1/1/1998,32
1999,Distrito Federal,Fevereiro,2 Fires,1/1/1999,75
2000,Distrito Federal,Fevereiro,0 Fires,1/1/2000,96
2001,Distrito Federal,Fevereiro,1 Fires,1/1/2001,90
2002,Distrito Federal,Fevereiro,0 Fires,1/1/2002,90
2003,Distrito Federal,Fevereiro,1 Fires,1/1/2003,90
2004,Distrito Federal,Fevereiro,0 Fires,1/1/2004,45
2005,Distrito Federal,Fevereiro,0 Fires,1/1/2005,82
2006,Distrito Federal,Fevereiro,0 Fires,1/1/2006,55
2007,Distrito Federal,Fevereiro,0 Fires,1/1/2007,10
2008,Distrito Federal,Fevereiro,0 Fires,1/1/2008,35
2009,Distrito Federal,Fevereiro,0 Fires,1/1/2009,82
2010,Distrito Federal,Fevereiro,4 Fires,1/1/2010,87
2011,Distrito Federal,Fevereiro,1 Fires,1/1/2011,86
2012,Distrito Federal,Fevereiro,0 Fires,1/1/2012,37
2013,Distrito Federal,Fevereiro,1 Fires,1/1/2013,10
2014,Distrito Federal,Fevereiro,1 Fires,1/1/2014,32
2015,Distrito Federal,Fevereiro,0 Fires,1/1/2015,27
2016,Distrito Federal,Fevereiro,2 Fires,1/1/2016,80
2017,Distrito Federal,Fevereiro,0 Fires,1/1/2017,29
1998,Distrito Federal,Março,0 Fires,1/1/1998,86
1999,Distrito Federal,Março,0 Fires,1/1/1999,37
2000,Distrito Federal,Março,0 Fires,1/1/2000,70
2001,Distrito Federal,Março,0 Fires,1/1/2001,16
2002,Distrito Federal,Março,0 Fires,1/1/2002,88
2003,Distrito Federal,Março,0 Fires,1/1/2003,89
2004,Distrito Federal,Março,0 Fires,1/1/2004,42
2005,Distrito Federal,Março,0 Fires,1/1/2005,54
2006,Distrito Federal,Março,0 Fires,1/1/2006,53
2007,Distrito Federal,Março,1 Fires,1/1/2007,74
2008,Distrito Federal,Março,2 Fires,1/1/2008,34
2009,Distrito Federal,Março,0 Fires,1/1/2009,83
2010,Distrito Federal,Março,0 Fires,1/1/2010,35
2011,Distrito Federal,Março,0 Fires,1/1/2011,1
2012,Distrito Federal,Março,0 Fires,1/1/2012,68
2013,Distrito Federal,Março,1 Fires,1/1/2013,40
2014,Distrito Federal,Março,1 Fires,1/1/2014,81
2015,Distrito Federal,Março,0 Fires,1/1/2015,61
2016,Distrito Federal,Março,1 Fires,1/1/2016,98
2017,Distrito Federal,Março,0 Fires,1/1/2017,34
1998,Distrito Federal,Abril,0 Fires,1/1/1998,54
1999,Distrito Federal,Abril,0 Fires,1/1/1999,15
2000,Distrito Federal,Abril,0 Fires,1/1/2000,45
2001,Distrito Federal,Abril,0 Fires,1/1/2001,34
2002,Distrito Federal,Abril,1 Fires,1/1/2002,44
2003,Distrito Federal,Abril,0 Fires,1/1/2003,37
2004,Distrito Federal,Abril,1 Fires,1/1/2004,95
2005,Distrito Federal,Abril,0 Fires,1/1/2005,64
2006,Distrito Federal,Abril,0 Fires,1/1/2006,61
2007,Distrito Federal,Abril,0 Fires,1/1/2007,31
2008,Distrito Federal,Abril,1 Fires,1/1/2008,37
2009,Distrito Federal,Abril,0 Fires,1/1/2009,24
2010,Distrito Federal,Abril,8 Fires,1/1/2010,69
2011,Distrito Federal,Abril,1 Fires,1/1/2011,95
2012,Distrito Federal,Abril,4 Fires,1/1/2012,98
2013,Distrito Federal,Abril,1 Fires,1/1/2013,95
2014,Distrito Federal,Abril,2 Fires,1/1/2014,93
2015,Distrito Federal,Abril,0 Fires,1/1/2015,56
2016,Distrito Federal,Abril,5 Fires,1/1/2016,79
2017,Distrito Federal,Abril,1 Fires,1/1/2017,95
1998,Distrito Federal,Maio,0 Fires,1/1/1998,45
1999,Distrito Federal,Maio,0 Fires,1/1/1999,42
2000,Distrito Federal,Maio,2 Fires,1/1/2000,17
2001,Distrito Federal,Maio,0 Fires,1/1/2001,28
2002,Distrito Federal,Maio,1 Fires,1/1/2002,93
2003,Distrito Federal,Maio,0 Fires,1/1/2003,87
2004,Distrito Federal,Maio,9 Fires,1/1/2004,84
2005,Distrito Federal,Maio,2 Fires,1/1/2005,3
2006,Distrito Federal,Maio,3 Fires,1/1/2006,65
2007,Distrito Federal,Maio,4 Fires,1/1/2007,70
2008,Distrito Federal,Maio,6 Fires,1/1/2008,81
2009,Distrito Federal,Maio,9 Fires,1/1/2009,40
2010,Distrito Federal,Maio,23 Fires,1/1/2010,99
2011,Distrito Federal,Maio,3 Fires,1/1/2011,48
2012,Distrito Federal,Maio,0 Fires,1/1/2012,84
2013,Distrito Federal,Maio,2 Fires,1/1/2013,56
2014,Distrito Federal,Maio,9 Fires,1/1/2014,96
2015,Distrito Federal,Maio,2 Fires,1/1/2015,47
2016,Distrito Federal,Maio,15 Fires,1/1/2016,83
2017,Distrito Federal,Maio,6 Fires,1/1/2017,68
1998,Distrito Federal,Junho,2 Fires,1/1/1998,27
1999,Distrito Federal,Junho, Fires,1/1/1999,11
2000,Distrito Federal,Junho,1 Fires,1/1/2000,38
2001,Distrito Federal,Junho,3 Fires,1/1/2001,22
2002,Distrito Federal,Junho,7 Fires,1/1/2002,87
2003,Distrito Federal,Junho, Fires,1/1/2003,5
2004,Distrito Federal,Junho,6 Fires,1/1/2004,43
2005,Distrito Federal,Junho,3 Fires,1/1/2005,28
2006,Distrito Federal,Junho,2 Fires,1/1/2006,65
2007,Distrito Federal,Junho,21 Fires,1/1/2007,17
2008,Distrito Federal,Junho,0 Fires,1/1/2008,14
2009,Distrito Federal,Junho,4 Fires,1/1/2009,64
2010,Distrito Federal,Junho,21 Fires,1/1/2010,61
2011,Distrito Federal,Junho,18 Fires,1/1/2011,35
2012,Distrito Federal,Junho,6 Fires,1/1/2012,99
2013,Distrito Federal,Junho,4 Fires,1/1/2013,64
2014,Distrito Federal,Junho,6 Fires,1/1/2014,80
2015,Distrito Federal,Junho,1 Fires,1/1/2015,95
2016,Distrito Federal,Junho,42 Fires,1/1/2016,19
2017,Distrito Federal,Junho,23 Fires,1/1/2017,47
1998,Distrito Federal,Julho,17 Fires,1/1/1998,85
1999,Distrito Federal,Julho,4 Fires,1/1/1999,8
2000,Distrito Federal,Julho,15 Fires,1/1/2000,59
2001,Distrito Federal,Julho,22 Fires,1/1/2001,75
2002,Distrito Federal,Julho,33 Fires,1/1/2002,68
2003,Distrito Federal,Julho,19 Fires,1/1/2003,43
2004,Distrito Federal,Julho,37 Fires,1/1/2004,97
2005,Distrito Federal,Julho,24 Fires,1/1/2005,84
2006,Distrito Federal,Julho, Fires,1/1/2006,5
2007,Distrito Federal,Julho,25 Fires,1/1/2007,41
2008,Distrito Federal,Julho,12 Fires,1/1/2008,16
2009,Distrito Federal,Julho,33 Fires,1/1/2009,75
2010,Distrito Federal,Julho,85 Fires,1/1/2010,22
2011,Distrito Federal,Julho,53 Fires,1/1/2011,17
2012,Distrito Federal,Julho,29 Fires,1/1/2012,55
2013,Distrito Federal,Julho,22 Fires,1/1/2013,35
2014,Distrito Federal,Julho,27 Fires,1/1/2014,90
2015,Distrito Federal,Julho,15 Fires,1/1/2015,53
2016,Distrito Federal,Julho,79 Fires,1/1/2016,67
2017,Distrito Federal,Julho,44 Fires,1/1/2017,48
1998,Distrito Federal,Agosto,48 Fires,1/1/1998,9
1999,Distrito Federal,Agosto,16 Fires,1/1/1999,87
2000,Distrito Federal,Agosto,9 Fires,1/1/2000,76
2001,Distrito Federal,Agosto,25 Fires,1/1/2001,81
2002,Distrito Federal,Agosto,53 Fires,1/1/2002,9
2003,Distrito Federal,Agosto, Fires,1/1/2003,11
2004,Distrito Federal,Agosto,108 Fires,1/1/2004,73
2005,Distrito Federal,Agosto,20 Fires,1/1/2005,52
2006,Distrito Federal,Agosto,40 Fires,1/1/2006,43
2007,Distrito Federal,Agosto,137 Fires,1/1/2007,100
2008,Distrito Federal,Agosto,30 Fires,1/1/2008,10
2009,Distrito Federal,Agosto,37 Fires,1/1/2009,54
2010,Distrito Federal,Agosto,159 Fires,1/1/2010,79
2011,Distrito Federal,Agosto,61 Fires,1/1/2011,30
2012,Distrito Federal,Agosto,55 Fires,1/1/2012,2
2013,Distrito Federal,Agosto,34 Fires,1/1/2013,68
2014,Distrito Federal,Agosto,99 Fires,1/1/2014,40
2015,Distrito Federal,Agosto,53 Fires,1/1/2015,83
2016,Distrito Federal,Agosto,29 Fires,1/1/2016,83
2017,Distrito Federal,Agosto,147 Fires,1/1/2017,100
1998,Distrito Federal,Setembro,33 Fires,1/1/1998,97
1999,Distrito Federal,Setembro,12 Fires,1/1/1999,83
2000,Distrito Federal,Setembro,3 Fires,1/1/2000,46
2001,Distrito Federal,Setembro,12 Fires,1/1/2001,70
2002,Distrito Federal,Setembro,33 Fires,1/1/2002,34
2003,Distrito Federal,Setembro,17 Fires,1/1/2003,52
2004,Distrito Federal,Setembro,100 Fires,1/1/2004,25
2005,Distrito Federal,Setembro,23 Fires,1/1/2005,39
2006,Distrito Federal,Setembro,20 Fires,1/1/2006,65
2007,Distrito Federal,Setembro,73 Fires,1/1/2007,33
2008,Distrito Federal,Setembro,54 Fires,1/1/2008,97
2009,Distrito Federal,Setembro,5 Fires,1/1/2009,80
2010,Distrito Federal,Setembro,196 Fires,1/1/2010,92
2011,Distrito Federal,Setembro,133 Fires,1/1/2011,85
2012,Distrito Federal,Setembro,64 Fires,1/1/2012,98
2013,Distrito Federal,Setembro,31 Fires,1/1/2013,34
2014,Distrito Federal,Setembro,72 Fires,1/1/2014,72
2015,Distrito Federal,Setembro,76 Fires,1/1/2015,61
2016,Distrito Federal,Setembro,58 Fires,1/1/2016,31
2017,Distrito Federal,Setembro,122 Fires,1/1/2017,45
1998,Distrito Federal,Outubro,3 Fires,1/1/1998,99
1999,Distrito Federal,Outubro,8 Fires,1/1/1999,86
2000,Distrito Federal,Outubro,18 Fires,1/1/2000,67
2001,Distrito Federal,Outubro,0 Fires,1/1/2001,83
2002,Distrito Federal,Outubro,19 Fires,1/1/2002,98
2003,Distrito Federal,Outubro,12 Fires,1/1/2003,27
2004,Distrito Federal,Outubro,18 Fires,1/1/2004,0
2005,Distrito Federal,Outubro,18 Fires,1/1/2005,67
2006,Distrito Federal,Outubro,1 Fires,1/1/2006,62
2007,Distrito Federal,Outubro,13 Fires,1/1/2007,99
2008,Distrito Federal,Outubro,6 Fires,1/1/2008,4
2009,Distrito Federal,Outubro,3 Fires,1/1/2009,33
2010,Distrito Federal,Outubro,6 Fires,1/1/2010,37
2011,Distrito Federal,Outubro,0 Fires,1/1/2011,71
2012,Distrito Federal,Outubro,15 Fires,1/1/2012,10
2013,Distrito Federal,Outubro,3 Fires,1/1/2013,90
2014,Distrito Federal,Outubro,34 Fires,1/1/2014,30
2015,Distrito Federal,Outubro,21 Fires,1/1/2015,25
2016,Distrito Federal,Outubro,9 Fires,1/1/2016,26
2017,Distrito Federal,Outubro,66 Fires,1/1/2017,95
1998,Distrito Federal,Novembro,0 Fires,1/1/1998,66
1999,Distrito Federal,Novembro,1 Fires,1/1/1999,17
2000,Distrito Federal,Novembro,0 Fires,1/1/2000,70
2001,Distrito Federal,Novembro,0 Fires,1/1/2001,84
2002,Distrito Federal,Novembro,1 Fires,1/1/2002,18
2003,Distrito Federal,Novembro,0 Fires,1/1/2003,50
2004,Distrito Federal,Novembro,0 Fires,1/1/2004,17
2005,Distrito Federal,Novembro,2 Fires,1/1/2005,65
2006,Distrito Federal,Novembro,0 Fires,1/1/2006,44
2007,Distrito Federal,Novembro,0 Fires,1/1/2007,90
2008,Distrito Federal,Novembro,4 Fires,1/1/2008,90
2009,Distrito Federal,Novembro, Fires,1/1/2009,5
2010,Distrito Federal,Novembro,0 Fires,1/1/2010,26
2011,Distrito Federal,Novembro,1 Fires,1/1/2011,76
2012,Distrito Federal,Novembro,0 Fires,1/1/2012,91
2013,Distrito Federal,Novembro,0 Fires,1/1/2013,42
2014,Distrito Federal,Novembro,0 Fires,1/1/2014,74
2015,Distrito Federal,Novembro,3 Fires,1/1/2015,73
2016,Distrito Federal,Novembro,1 Fires,1/1/2016,43
2017,Distrito Federal,Novembro,0 Fires,1/1/2017,34
1998,Distrito Federal,Dezembro,0 Fires,1/1/1998,62
1999,Distrito Federal,Dezembro,0 Fires,1/1/1999,89
2000,Distrito Federal,Dezembro,0 Fires,1/1/2000,29
2001,Distrito Federal,Dezembro,1 Fires,1/1/2001,43
2002,Distrito Federal,Dezembro,1 Fires,1/1/2002,13
2003,Distrito Federal,Dezembro,0 Fires,1/1/2003,79
2004,Distrito Federal,Dezembro,0 Fires,1/1/2004,45
2005,Distrito Federal,Dezembro,0 Fires,1/1/2005,17
2006,Distrito Federal,Dezembro,0 Fires,1/1/2006,3
2007,Distrito Federal,Dezembro,0 Fires,1/1/2007,60
2008,Distrito Federal,Dezembro,0 Fires,1/1/2008,87
2009,Distrito Federal,Dezembro,0 Fires,1/1/2009,39
2010,Distrito Federal,Dezembro,1 Fires,1/1/2010,30
2011,Distrito Federal,Dezembro,0 Fires,1/1/2011,71
2012,Distrito Federal,Dezembro,0 Fires,1/1/2012,40
2013,Distrito Federal,Dezembro,2 Fires,1/1/2013,19
2014,Distrito Federal,Dezembro,0 Fires,1/1/2014,98
2015,Distrito Federal,Dezembro,0 Fires,1/1/2015,78
2016,Distrito Federal,Dezembro,0 Fires,1/1/2016,8
1998,Espirito Santo,Janeiro,0 Fires,1/1/1998,95
1999,Espirito Santo,Janeiro,36 Fires,1/1/1999,18
2000,Espirito Santo,Janeiro,24 Fires,1/1/2000,93
2001,Espirito Santo,Janeiro,18 Fires,1/1/2001,3
2002,Espirito Santo,Janeiro,29 Fires,1/1/2002,35
2003,Espirito Santo,Janeiro, Fires,1/1/2003,3
2004,Espirito Santo,Janeiro,22 Fires,1/1/2004,27
2005,Espirito Santo,Janeiro,28 Fires,1/1/2005,20
2006,Espirito Santo,Janeiro,109 Fires,1/1/2006,0
2007,Espirito Santo,Janeiro,91 Fires,1/1/2007,47
2008,Espirito Santo,Janeiro,85 Fires,1/1/2008,20
2009,Espirito Santo,Janeiro,74 Fires,1/1/2009,50
2010,Espirito Santo,Janeiro,118 Fires,1/1/2010,63
2011,Espirito Santo,Janeiro,61 Fires,1/1/2011,45
2012,Espirito Santo,Janeiro,75 Fires,1/1/2012,95
2013,Espirito Santo,Janeiro,75 Fires,1/1/2013,41
2014,Espirito Santo,Janeiro,133 Fires,1/1/2014,5
2015,Espirito Santo,Janeiro,147 Fires,1/1/2015,15
2016,Espirito Santo,Janeiro,61 Fires,1/1/2016,88
2017,Espirito Santo,Janeiro, Fires,1/1/2017,32
1998,Espirito Santo,Fevereiro,0 Fires,1/1/1998,5
1999,Espirito Santo,Fevereiro,112 Fires,1/1/1999,84
2000,Espirito Santo,Fevereiro,20 Fires,1/1/2000,4
2001,Espirito Santo,Fevereiro,39 Fires,1/1/2001,70
2002,Espirito Santo,Fevereiro,62 Fires,1/1/2002,35
2003,Espirito Santo,Fevereiro,126 Fires,1/1/2003,47
2004,Espirito Santo,Fevereiro,29 Fires,1/1/2004,33
2005,Espirito Santo,Fevereiro,79 Fires,1/1/2005,94
2006,Espirito Santo,Fevereiro,96 Fires,1/1/2006,8
2007,Espirito Santo,Fevereiro,71 Fires,1/1/2007,14
2008,Espirito Santo,Fevereiro,59 Fires,1/1/2008,14
2009,Espirito Santo,Fevereiro,74 Fires,1/1/2009,12
2010,Espirito Santo,Fevereiro,155 Fires,1/1/2010,98
2011,Espirito Santo,Fevereiro,111 Fires,1/1/2011,32
2012,Espirito Santo,Fevereiro,123 Fires,1/1/2012,6
2013,Espirito Santo,Fevereiro,143 Fires,1/1/2013,46
2014,Espirito Santo,Fevereiro,157 Fires,1/1/2014,23
2015,Espirito Santo,Fevereiro,84 Fires,1/1/2015,83
2016,Espirito Santo,Fevereiro,207 Fires,1/1/2016,55
2017,Espirito Santo,Fevereiro,61 Fires,1/1/2017,74
1998,Espirito Santo,Março,0 Fires,1/1/1998,56
1999,Espirito Santo,Março,13 Fires,1/1/1999,48
2000,Espirito Santo,Março,24 Fires,1/1/2000,39
2001,Espirito Santo,Março,13 Fires,1/1/2001,49
2002,Espirito Santo,Março,62 Fires,1/1/2002,16
2003,Espirito Santo,Março,81 Fires,1/1/2003,48
2004,Espirito Santo,Março,81 Fires,1/1/2004,23
2005,Espirito Santo,Março,107 Fires,1/1/2005,20
2006,Espirito Santo,Março,69 Fires,1/1/2006,29
2007,Espirito Santo,Março,155 Fires,1/1/2007,23
2008,Espirito Santo,Março,61 Fires,1/1/2008,67
2009,Espirito Santo,Março,106 Fires,1/1/2009,37
2010,Espirito Santo,Março,109 Fires,1/1/2010,94
2011,Espirito Santo,Março,67 Fires,1/1/2011,53
2012,Espirito Santo,Março,152 Fires,1/1/2012,52
2013,Espirito Santo,Março,110 Fires,1/1/2013,18
2014,Espirito Santo,Março,77 Fires,1/1/2014,75
2015,Espirito Santo,Março,80 Fires,1/1/2015,38
2016,Espirito Santo,Março,123 Fires,1/1/2016,95
2017,Espirito Santo,Março,105 Fires,1/1/2017,56
1998,Espirito Santo,Abril,0 Fires,1/1/1998,84
1999,Espirito Santo,Abril,27 Fires,1/1/1999,3
2000,Espirito Santo,Abril,49 Fires,1/1/2000,65
2001,Espirito Santo,Abril,60 Fires,1/1/2001,54
2002,Espirito Santo,Abril,99 Fires,1/1/2002,63
2003,Espirito Santo,Abril,215 Fires,1/1/2003,74
2004,Espirito Santo,Abril,48 Fires,1/1/2004,85
2005,Espirito Santo,Abril,89 Fires,1/1/2005,15
2006,Espirito Santo,Abril,50 Fires,1/1/2006,33
2007,Espirito Santo,Abril,35 Fires,1/1/2007,30
2008,Espirito Santo,Abril,113 Fires,1/1/2008,99
2009,Espirito Santo,Abril,26 Fires,1/1/2009,44
2010,Espirito Santo,Abril,112 Fires,1/1/2010,30
2011,Espirito Santo,Abril,66 Fires,1/1/2011,45
2012,Espirito Santo,Abril,180 Fires,1/1/2012,16
2013,Espirito Santo,Abril,61 Fires,1/1/2013,22
2014,Espirito Santo,Abril,161 Fires,1/1/2014,3
2015,Espirito Santo,Abril,109 Fires,1/1/2015,95
2016,Espirito Santo,Abril,172 Fires,1/1/2016,40
2017,Espirito Santo,Abril,69 Fires,1/1/2017,13
1998,Espirito Santo,Maio,0 Fires,1/1/1998,1
1999,Espirito Santo,Maio,51 Fires,1/1/1999,25
2000,Espirito Santo,Maio,67 Fires,1/1/2000,77
2001,Espirito Santo,Maio,83 Fires,1/1/2001,16
2002,Espirito Santo,Maio,98 Fires,1/1/2002,48
2003,Espirito Santo,Maio,75 Fires,1/1/2003,66
2004,Espirito Santo,Maio,79 Fires,1/1/2004,22
2005,Espirito Santo,Maio,134 Fires,1/1/2005,42
2006,Espirito Santo,Maio,62 Fires,1/1/2006,79
2007,Espirito Santo,Maio,124 Fires,1/1/2007,96
2008,Espirito Santo,Maio,50 Fires,1/1/2008,17
2009,Espirito Santo,Maio,128 Fires,1/1/2009,29
2010,Espirito Santo,Maio,179 Fires,1/1/2010,89
2011,Espirito Santo,Maio,151 Fires,1/1/2011,49
2012,Espirito Santo,Maio,144 Fires,1/1/2012,52
2013,Espirito Santo,Maio,150 Fires,1/1/2013,65
2014,Espirito Santo,Maio,224 Fires,1/1/2014,56
2015,Espirito Santo,Maio,114 Fires,1/1/2015,96
2016,Espirito Santo,Maio,186 Fires,1/1/2016,88
2017,Espirito Santo,Maio, Fires,1/1/2017,85
1998,Espirito Santo,Junho,70 Fires,1/1/1998,83
1999,Espirito Santo,Junho,132 Fires,1/1/1999,40
2000,Espirito Santo,Junho,135 Fires,1/1/2000,46
2001,Espirito Santo,Junho,166 Fires,1/1/2001,23
2002,Espirito Santo,Junho,207 Fires,1/1/2002,46
2003,Espirito Santo,Junho,245 Fires,1/1/2003,43
2004,Espirito Santo,Junho,209 Fires,1/1/2004,97
2005,Espirito Santo,Junho,246 Fires,1/1/2005,33
2006,Espirito Santo,Junho,73 Fires,1/1/2006,23
2007,Espirito Santo,Junho,184 Fires,1/1/2007,17
2008,Espirito Santo,Junho,48 Fires,1/1/2008,67
2009,Espirito Santo,Junho,173 Fires,1/1/2009,14
2010,Espirito Santo,Junho,139 Fires,1/1/2010,75
2011,Espirito Santo,Junho,304 Fires,1/1/2011,11
2012,Espirito Santo,Junho,219 Fires,1/1/2012,65
2013,Espirito Santo,Junho,144 Fires,1/1/2013,60
2014,Espirito Santo,Junho,376 Fires,1/1/2014,34
2015,Espirito Santo,Junho,200 Fires,1/1/2015,40
2016,Espirito Santo,Junho,263 Fires,1/1/2016,76
2017,Espirito Santo,Junho,360 Fires,1/1/2017,94
1998,Espirito Santo,Julho,232 Fires,1/1/1998,13
1999,Espirito Santo,Julho,318 Fires,1/1/1999,43
2000,Espirito Santo,Julho,345 Fires,1/1/2000,98
2001,Espirito Santo,Julho,266 Fires,1/1/2001,12
2002,Espirito Santo,Julho,741 Fires,1/1/2002,79
2003,Espirito Santo,Julho,407 Fires,1/1/2003,76
2004,Espirito Santo,Julho,625 Fires,1/1/2004,50
2005,Espirito Santo,Julho,467 Fires,1/1/2005,46
2006,Espirito Santo,Julho,336 Fires,1/1/2006,82
2007,Espirito Santo,Julho,446 Fires,1/1/2007,9
2008,Espirito Santo,Julho, Fires,1/1/2008,28
2009,Espirito Santo,Julho,477 Fires,1/1/2009,74
2010,Espirito Santo,Julho,707 Fires,1/1/2010,12
2011,Espirito Santo,Julho,801 Fires,1/1/2011,22
2012,Espirito Santo,Julho,669 Fires,1/1/2012,95
2013,Espirito Santo,Julho,462 Fires,1/1/2013,35
2014,Espirito Santo,Julho,559 Fires,1/1/2014,36
2015,Espirito Santo,Julho,288 Fires,1/1/2015,52
2016,Espirito Santo,Julho,1.004 Fires,1/1/2016,32
2017,Espirito Santo,Julho,610 Fires,1/1/2017,78
1998,Espirito Santo,Agosto,875 Fires,1/1/1998,23
1999,Espirito Santo,Agosto, Fires,1/1/1999,7
2000,Espirito Santo,Agosto,769 Fires,1/1/2000,44
2001,Espirito Santo,Agosto,858 Fires,1/1/2001,51
2002,Espirito Santo,Agosto,2.041 Fires,1/1/2002,90
2003,Espirito Santo,Agosto,1.955 Fires,1/1/2003,65
2004,Espirito Santo,Agosto,1.642 Fires,1/1/2004,99
2005,Espirito Santo,Agosto,1.029 Fires,1/1/2005,70
2006,Espirito Santo,Agosto,959 Fires,1/1/2006,3
2007,Espirito Santo,Agosto,2.975 Fires,1/1/2007,40
2008,Espirito Santo,Agosto,605 Fires,1/1/2008,24
2009,Espirito Santo,Agosto,685 Fires,1/1/2009,22
2010,Espirito Santo,Agosto,3.353 Fires,1/1/2010,0
2011,Espirito Santo,Agosto,2.742 Fires,1/1/2011,38
2012,Espirito Santo,Agosto,901 Fires,1/1/2012,97
2013,Espirito Santo,Agosto,911 Fires,1/1/2013,3
2014,Espirito Santo,Agosto,1.952 Fires,1/1/2014,7
2015,Espirito Santo,Agosto,1.059 Fires,1/1/2015,86
2016,Espirito Santo,Agosto,1.433 Fires,1/1/2016,25
2017,Espirito Santo,Agosto,2.142 Fires,1/1/2017,99
1998,Espirito Santo,Setembro,1.981 Fires,1/1/1998,44
1999,Espirito Santo,Setembro, Fires,1/1/1999,88
2000,Espirito Santo,Setembro,1.08 Fires,1/1/2000,40
2001,Espirito Santo,Setembro,1.597 Fires,1/1/2001,45
2002,Espirito Santo,Setembro,3.1 Fires,1/1/2002,55
2003,Espirito Santo,Setembro,7.091 Fires,1/1/2003,42
2004,Espirito Santo,Setembro,4.339 Fires,1/1/2004,100
2005,Espirito Santo,Setembro, Fires,1/1/2005,87
2006,Espirito Santo,Setembro,2.78 Fires,1/1/2006,10
2007,Espirito Santo,Setembro,5.088 Fires,1/1/2007,66
2008,Espirito Santo,Setembro,2.552 Fires,1/1/2008,46
2009,Espirito Santo,Setembro,1.31 Fires,1/1/2009,100
2010,Espirito Santo,Setembro, Fires,1/1/2010,9
2011,Espirito Santo,Setembro,5.978 Fires,1/1/2011,1
2012,Espirito Santo,Setembro,3.219 Fires,1/1/2012,39
2013,Espirito Santo,Setembro,1.656 Fires,1/1/2013,11
2014,Espirito Santo,Setembro,3.454 Fires,1/1/2014,49
2015,Espirito Santo,Setembro,3.088 Fires,1/1/2015,76
2016,Espirito Santo,Setembro,2.093 Fires,1/1/2016,84
2017,Espirito Santo,Setembro,4.697 Fires,1/1/2017,49
1998,Espirito Santo,Outubro,1.093 Fires,1/1/1998,11
1999,Espirito Santo,Outubro,1.363 Fires,1/1/1999,43
2000,Espirito Santo,Outubro,1.954 Fires,1/1/2000,18
2001,Espirito Santo,Outubro,528 Fires,1/1/2001,25
2002,Espirito Santo,Outubro,4.788 Fires,1/1/2002,70
2003,Espirito Santo,Outubro,5.391 Fires,1/1/2003,85
2004,Espirito Santo,Outubro,2.736 Fires,1/1/2004,0
2005,Espirito Santo,Outubro,6.546 Fires,1/1/2005,40
2006,Espirito Santo,Outubro,616 Fires,1/1/2006,48
2007,Espirito Santo,Outubro,3.467 Fires,1/1/2007,9
